Sample,GEP
p227,12.4499631172532
p359,10.8973706080497
p533,13.4388035285
p149,12.3399864790168
p160,12.6062409730393
p2,12.1180678367144
p261,11.3558640651486
p486,8.71340057038908
p367,12.3042045749565
p455,9.72889981224556
p523,15.1305030447609
p276,12.0180165422797
p393,12.536137233954
p385,11.6109359506764
p168,11.9935565145986
p75,15.3601228420803
p42,12.9872284080133
p416,13.4421954711224
p311,15.081005455621
p316,15.5762286398003
p30,9.6762225417745
p494,12.8018694436414
p467,11.6804711300921
p376,13.7654171129135
p13,9.85077235707305
p256,12.8515679441144
p141,11.2861468923941
p262,10.0457269766107
p197,12.9468335408012
p52,11.9586639609849
p445,13.6760480604687
p291,13.8690353448048
p532,13.8162313014829
p55,13.2350913078084
p332,12.2030987463481
p214,10.8978834322935
p157,13.044373333372
p428,10.4845516937981
p51,15.2318164890752
p457,13.3218618925788
p324,12.150126930663
p409,13.9849272968495
p208,10.7660239258998
p340,9.82215298831949
p16,11.6400368786942
p54,13.039428388069
p108,12.1326273583851
p460,12.2749914721695
p279,13.1381392398448
p358,11.7274129467735
p90,11.2079034834492
p357,11.1499453527618
p435,11.7930970677339
p405,9.69424088281424
p150,11.0263370833004
